,Question,Answer,,,,,
11,What is an equilibrium point in a system,"An equilibrium point is the values that the state variables attain when the system reaches equilibrium i.e. when the rate of change of states of the system reaches zero. You can find the equilibrium points by simply solving the state equation putting rate of change of states as zero. 

To find the equilibrium point you can follow the steps given below:
Consider the following set of coupled equations as follow:
$$
\dot x_1 = -x_1 + 2x_1^3 + x_2 = f_1(x_1,x_2)\\
\dot x_2 = -x_1 - x_2 = f_2(x_1,x_2)
$$
Here $x_1$ and $x_2$ are the states of the system and $\dot x_1$ and $\dot x_2$ are the rate of change of the states.

Calculate the equilibrium points of the system by setting the values of $\dot x_1 = \dot x_2 = 0$.
$$
0 = -x_1 + 2x_1^3 + x_2 \\
0 = -x_1 - x_2
$$
By solving the above two equations, the values of equilibrium point are : $(0,0) , (-1,1) \& (1,-1)$","**Q11:** What is an equilibrium point in a system
**A11:** An equilibrium point is the values that the state variables attain when the system reaches equilibrium i.e. when the rate of change of states of the system reaches zero. You can find the equilibrium points by simply solving the state equation putting rate of change of states as zero. 

To find the equilibrium point you can follow the steps given below:
Consider the following set of coupled equations as follow:
$$
\dot x_1 = -x_1 + 2x_1^3 + x_2 = f_1(x_1,x_2)\\
\dot x_2 = -x_1 - x_2 = f_2(x_1,x_2)
$$
Here $x_1$ and $x_2$ are the states of the system and $\dot x_1$ and $\dot x_2$ are the rate of change of the states.

Calculate the equilibrium points of the system by setting the values of $\dot x_1 = \dot x_2 = 0$.
$$
0 = -x_1 + 2x_1^3 + x_2 \\
0 = -x_1 - x_2
$$
By solving the above two equations, the values of equilibrium point are : $(0,0) , (-1,1) \& (1,-1)$

---",,,,
12,What are the types of equilibrium points,"Generally equilibrium points can be classified in two categories: 
* Stable Equilibrium
* Unstable Equilibrium","**Q12:** What are the types of equilibrium points
**A12:** Generally equilibrium points can be classified in two categories: 
* Stable Equilibrium
* Unstable Equilibrium

---",,,,
13,What is a stable equilibrium,**Stable Equilibrium** - If a system always returns to the equilibrium point after small perturbations.,"**Q13:** What is a stable equilibrium
**A13:** **Stable Equilibrium** - If a system always returns to the equilibrium point after small perturbations.

---",,,,
14,What is an unstable equilibrium,**Unstable Equilibrium** - If a system moves away from equilibrium point after small perturbations.,"**Q14:** What is an unstable equilibrium
**A14:** **Unstable Equilibrium** - If a system moves away from equilibrium point after small perturbations.

---",,,,
15,How do I find if an equilibrium point is stable or unstable," For each Equilibrium point
*If all the eigenvalues have negative real part, the system is **Stable** at the given Equilibrium point.
*If even one of the eigenvalues has positive real part, the system is **Unstable** at the given Equilibrium point.
","**Q15:** How do I find if an equilibrium point is stable or unstable
**A15:**  For each Equilibrium point
*If all the eigenvalues have negative real part, the system is **Stable** at the given Equilibrium point.
*If even one of the eigenvalues has positive real part, the system is **Unstable** at the given Equilibrium point.


---",,,,
16,What is Eigenvalues of a system,Eigenvalues of state matrices represent poles of a system. The poles decides the stability of a system and if the poles are on the negative half of the complex plane i.e. they have the negative real part then the system is stable and if the real part is  positive the system is unstable. A system is marginally stable if it has simple  poles (non repeated) on imaginary axis and unstable if it is repeated. ,"**Q16:** What is Eigenvalues of a system
**A16:** Eigenvalues of state matrices represent poles of a system. The poles decides the stability of a system and if the poles are on the negative half of the complex plane i.e. they have the negative real part then the system is stable and if the real part is  positive the system is unstable. A system is marginally stable if it has simple  poles (non repeated) on imaginary axis and unstable if it is repeated. 

---",,,,
17,How do I find Eigenvalues of a system,"$$
\dot x_1 = -x_1 + 2x_1^3 + x_2 = f_1(x_1,x_2)\\
\dot x_2 = -x_1 - x_2 = f_2(x_1,x_2)
$$
Assume the above equation as State Equation of a system then following are the steps to find Eigenvalues of a system:
* Calculate the equilibrium points of the system by setting the values of rate of change of states in state equations as zero. 
For example: $\dot x_1 = \dot x_2 = 0$
By solving the above two equations, the values of equilibrium point are : $(0,0) , (-1,1) \& (1,-1)$

* Linearize the set of equations by calculating the Jacobian:
 The Jacobian $J$ for the set of equations can be calculated as:
$$
J = \begin{bmatrix} \frac{\partial f_1}{\partial x_1} & \frac{\partial f_1}{\partial x_2}\\ \frac{\partial f_2}{\partial x_1} & \frac{\partial f_2}{\partial x_2}\end{bmatrix} = \begin{bmatrix} 6x_1^2-1 & 1 \\ -1 & -1\end{bmatrix}
$$

* Substitute the value of the equilibrium points in the matrix $J$ to find $3$ matrices $J_1$, $J_2$ and $J_3$.

*  The eigenvalues can be calculated by constructing the characteristic equation of      the matrix and equating it to zero. A characteristic equation can be written as $|sI-J|=0$
For equilibrium point $(0,0)$ :-
$$ 
|sI-J_1|=0  \\
\begin{vmatrix} s\begin{bmatrix} 1 & 0 \\ 0 & 1\end{bmatrix} - \begin{bmatrix} -1 & 1 \\ -1 & -1\end{bmatrix} \end{vmatrix}= 0 \\
\begin{vmatrix} (s+1) & -1 \\ 1 & (s+1) \end{vmatrix}= 0 \\
(s+1)^2 + 1 = 0 \\
s=(-1+i),(-1-i)
$$
For equilibrium point $(-1,1)$ and $(1,-1)$:

$$
|sI-J_2|=0  \\
\begin{vmatrix} s\begin{bmatrix} 1 & 0 \\ 0 & 1\end{bmatrix} - \begin{bmatrix} 5 & 1 \\ -1 & -1\end{bmatrix} \end{vmatrix}= 0 \\
\begin{vmatrix} (s-5) & -1 \\ 1 & (s+1) \end{vmatrix}= 0 \\
(s-5)(s+1) + 1 = 0 \\
s=(2+2\sqrt{2}),(2-2\sqrt{2}),(-1-i)
$$
","**Q17:** How do I find Eigenvalues of a system
**A17:** $$
\dot x_1 = -x_1 + 2x_1^3 + x_2 = f_1(x_1,x_2)\\
\dot x_2 = -x_1 - x_2 = f_2(x_1,x_2)
$$
Assume the above equation as State Equation of a system then following are the steps to find Eigenvalues of a system:
* Calculate the equilibrium points of the system by setting the values of rate of change of states in state equations as zero. 
For example: $\dot x_1 = \dot x_2 = 0$
By solving the above two equations, the values of equilibrium point are : $(0,0) , (-1,1) \& (1,-1)$

* Linearize the set of equations by calculating the Jacobian:
 The Jacobian $J$ for the set of equations can be calculated as:
$$
J = \begin{bmatrix} \frac{\partial f_1}{\partial x_1} & \frac{\partial f_1}{\partial x_2}\\ \frac{\partial f_2}{\partial x_1} & \frac{\partial f_2}{\partial x_2}\end{bmatrix} = \begin{bmatrix} 6x_1^2-1 & 1 \\ -1 & -1\end{bmatrix}
$$

* Substitute the value of the equilibrium points in the matrix $J$ to find $3$ matrices $J_1$, $J_2$ and $J_3$.

*  The eigenvalues can be calculated by constructing the characteristic equation of      the matrix and equating it to zero. A characteristic equation can be written as $|sI-J|=0$
For equilibrium point $(0,0)$ :-
$$ 
|sI-J_1|=0  \\
\begin{vmatrix} s\begin{bmatrix} 1 & 0 \\ 0 & 1\end{bmatrix} - \begin{bmatrix} -1 & 1 \\ -1 & -1\end{bmatrix} \end{vmatrix}= 0 \\
\begin{vmatrix} (s+1) & -1 \\ 1 & (s+1) \end{vmatrix}= 0 \\
(s+1)^2 + 1 = 0 \\
s=(-1+i),(-1-i)
$$
For equilibrium point $(-1,1)$ and $(1,-1)$:

$$
|sI-J_2|=0  \\
\begin{vmatrix} s\begin{bmatrix} 1 & 0 \\ 0 & 1\end{bmatrix} - \begin{bmatrix} 5 & 1 \\ -1 & -1\end{bmatrix} \end{vmatrix}= 0 \\
\begin{vmatrix} (s-5) & -1 \\ 1 & (s+1) \end{vmatrix}= 0 \\
(s-5)(s+1) + 1 = 0 \\
s=(2+2\sqrt{2}),(2-2\sqrt{2}),(-1-i)
$$


---",,,,
18,What is Jacobian,Jacobian matrix is a matrix of partial derivatives. Jacobian is the determinant of the jacobian matrix. ,"**Q18:** What is Jacobian
**A18:** Jacobian matrix is a matrix of partial derivatives. Jacobian is the determinant of the jacobian matrix. 

---",,,,
19,How to find a Jacobian of a system,"Consider the following set of coupled equations as given below:
$$
\dot x_1 = -x_1 + 2x_1^3 + x_2 = f_1(x_1,x_2)\\
\dot x_2 = -x_1 - x_2 = f_2(x_1,x_2)
$$  
The equilibrium point of these equations are : $(0,0) , (-1,1) \& (1,-1)$

 Then the Jacobian $J$ for the set of equations can be calculated as:
$$
J = \begin{bmatrix} \frac{\partial f_1}{\partial x_1} & \frac{\partial f_1}{\partial x_2}\\ \frac{\partial f_2}{\partial x_1} & \frac{\partial f_2}{\partial x_2}\end{bmatrix} = \begin{bmatrix} 6x_1^2-1 & 1 \\ -1 & -1\end{bmatrix}
$$

Now, substitute the value of the equilibrium points in the matrix $J$ to find $3$ matrices $J_1$, $J_2$ and $J_3$.
$$
J_1 =  \begin{bmatrix} 6(0)^2-1 & 1 \\ -1 & -1\end{bmatrix} =  \begin{bmatrix} -1 & 1 \\ -1 & -1\end{bmatrix} \\
J_2 =  \begin{bmatrix} 6(1)^2-1 & 1 \\ -1 & -1\end{bmatrix} =  \begin{bmatrix} 5 & 1 \\ -1 & -1\end{bmatrix} \\
J_3 =  \begin{bmatrix} 6(-1)^2-1 & 1 \\ -1 & -1\end{bmatrix} =  \begin{bmatrix} 5 & 1 \\ -1 & -1\end{bmatrix} 
$$","**Q19:** How to find a Jacobian of a system
**A19:** Consider the following set of coupled equations as given below:
$$
\dot x_1 = -x_1 + 2x_1^3 + x_2 = f_1(x_1,x_2)\\
\dot x_2 = -x_1 - x_2 = f_2(x_1,x_2)
$$  
The equilibrium point of these equations are : $(0,0) , (-1,1) \& (1,-1)$

 Then the Jacobian $J$ for the set of equations can be calculated as:
$$
J = \begin{bmatrix} \frac{\partial f_1}{\partial x_1} & \frac{\partial f_1}{\partial x_2}\\ \frac{\partial f_2}{\partial x_1} & \frac{\partial f_2}{\partial x_2}\end{bmatrix} = \begin{bmatrix} 6x_1^2-1 & 1 \\ -1 & -1\end{bmatrix}
$$

Now, substitute the value of the equilibrium points in the matrix $J$ to find $3$ matrices $J_1$, $J_2$ and $J_3$.
$$
J_1 =  \begin{bmatrix} 6(0)^2-1 & 1 \\ -1 & -1\end{bmatrix} =  \begin{bmatrix} -1 & 1 \\ -1 & -1\end{bmatrix} \\
J_2 =  \begin{bmatrix} 6(1)^2-1 & 1 \\ -1 & -1\end{bmatrix} =  \begin{bmatrix} 5 & 1 \\ -1 & -1\end{bmatrix} \\
J_3 =  \begin{bmatrix} 6(-1)^2-1 & 1 \\ -1 & -1\end{bmatrix} =  \begin{bmatrix} 5 & 1 \\ -1 & -1\end{bmatrix} 
$$

---",,,,
20,What is a linear system?,,,,,,
21,How to check whether a system is linear or non-linear?,,,,,,
22,What is the need of linearization?,,,,,,
23,What is linearization?,,,,,,
24,How to perform linearization?,,,,,,
25,What are eigen vectors?,,,,,,
26,How to find eigen vectors?,,,,,,
27,Second order differential equations,,,,,,
